段落ID,篇号,原译,校订译文,说明
A0002-B0069,2,奥博'罗泰 - 一名熟练的钛战斗服驾驶员，也是远见精英荣誉卫队-八卫-的成员。最近被称为奥博'罗泰9-0的舷侧战斗服不是由钛驾驶的，而是由最初的奥博'罗泰的后世代AI思维印记驾驶的，他教年轻的远见驾驶战斗服的基础知识。,奥博·罗泰是一名技艺精湛的钛族战斗服驾驶员，也是远见的精锐荣誉卫队“八卫”成员。如今名为“奥博·罗泰 9-0”的舷侧战斗服，并非由钛族驾驶，而是由原版奥博·罗泰人格印记的后续世代人工智能操控。最初的奥博·罗泰曾教导年轻的远见，传授驾驶战斗服的基本技巧。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0070,2,Necrons 死灵,Necrons 太空死灵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0072,2,死灵本身是纯粹的机械生物，但包含了被称为惧亡者的生物生命形式的原始本质。然而，死灵仍然使用大量被称为冥工构造体的纯粹人工造物，这些造物扮演各种次要角色。,太空死灵本身已是纯机械生命，但仍保留着其前身惧亡者这一生物种族的本质。除此之外，太空死灵还会使用大量完全人造的冥工构造体，执行各类辅助任务。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0083,2,Canoptek Reanimator 冥工复生者,Canoptek Reanimator 冥工复生械,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0087,2,沃坎联盟的矮人没有其他一些文明中看到的关于人工智能的任何禁忌。他们的社会是一整类有感知力的机械的家园，统称为铁裔，他们利用其他不太先进的机械无人机执行其他任务。,沃坦联盟的矮人不像某些其他文明那样忌讳人工智能。在他们的社会中，存在一整个具有自我意识的机械群体，统称铁裔；技术水平较低的自动机器人则承担其他工作。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0003-B0002,3,狙击手是经过训练并配备狙击步枪或其他远程高精度枪支的步兵。他们经常在隐蔽的地方独自或以小组形式工作。除了狙击步枪的使用训练外，最有效的狙击手还接受过伪装和渗透训练。专业狙击手的战场角色是暗杀者。他们的目标通常是敌方指挥官和其他知名人士。,狙击手是受过专门训练、配备狙击步枪或其他远程高精度枪械的步兵。他们通常潜伏于隐蔽位置，单独行动或以小组作战。优秀的狙击手不仅精通射击，还擅长伪装与渗透。专职狙击手的战场任务是实施定点刺杀，目标通常是敌方指挥官或其他关键人物。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0003-B0004,3,作为打击敌军士气和破坏其指挥结构的有效方法，一些种族和部队以某种形式使用专门的狙击手：,狙击能够有效打击敌军士气、破坏其指挥体系。因此，许多种族与势力都编有各自的专职狙击部队：,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0003-B0014,3,Skitarii Rangers 护教军猎兵,Skitarii Rangers 护教军游骑兵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0003-B0023,3,Reconnaissance Squads 侦查小队,Reconnaissance Squads 侦察小队,侦察小队单复数统一；这里指战场侦察，不是刑事侦查。
A0003-B0032,3,Necron Deathmark 死灵死亡印记,Necron Deathmark 太空死灵死印战士,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0003-B0033,3,Ork Snipa Boys 兽人狙击小子,Ork Snipa Boys 欧克蛮人狙击小子,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0003-B0060,3,"""Ultra"" Pattern Mk. IX Sniper Rifle “极限”型Mk.IX狙击步枪","""Ultra"" Pattern Mk. IX Sniper Rifle “极限”型 Mk. IX 狙击步枪",对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0002,4,超光速航行（FTL）是银河系长途运输的主要方式。该技术允许乘客以比光速更快的速度航行，以便在合理的时间内穿越星际空间的巨大距离。,超光速航行（FTL）是银河系长途运输的主要方式。这类技术使航行速度突破光速，让旅客能够在可接受的时间内跨越浩瀚的星际距离。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0006,4,亚空间驱动 - 被人类使用，导航者和星语者结合使用最有效，提供领航跳跃的能力。帝国海军的许多商船舰队和民用舰队的舰船无法使用导航者的服务，它们使用星图、专用的沉思者和有争议的克列诺瓦M级亚空间引擎，在不需要导航者进行计算跳跃的情况下运行。沃坦联盟的炉裔也使用亚空间驱动，但使用导航器进行导航。,亚空间驱动装置：人类使用的航行设备，与导航员和星炬配合时效率最高，可以进行领航跳跃。帝国海军的许多商船和民用舰船无法获得导航员的服务，因而会借助星图、专用沉思者，以及备受争议、无需导航员便能工作的克列诺瓦 M 级亚空间引擎，进行计算跳跃。沃坦联盟的炉裔也使用亚空间驱动装置，但由寻路者（Wayfinders）负责导航。,Astronomican 为星炬，原译星语者将导航信标与人物混淆；Wayfinders 为独立术语，暂译寻路者。
A0004-B0008,4,亚空间引擎 - 一种危险且不可靠的技术，类似于人类亚空间驱动，被欧克使用。,亚空间引擎：欧克蛮人使用的技术，与人类的亚空间驱动装置相似，但危险而不可靠。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0010,4,网道 - 由灵族和黑暗灵族使用，它由穿过亚空间的稳定隧道组成。死灵也通过墓石之门使用。,网道：由灵族与黑暗灵族使用，是穿行于亚空间中的稳定隧道网络。太空死灵也能借助墓石之门进入网道。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0012,4,AL-38滑流单元 - 钛技术利用反物质进入亚空间。,AL-38 滑流模块：钛族研发的技术，利用反物质进入亚空间。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0015,4,无惯性驱动 - 由死灵使用,无惯性驱动：由太空死灵使用。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0017,4,灯塔 - 早期死灵建造的小型FTL和即时通信设备。,灯塔：早期太空死灵建造的装置，可实现小规模超光速航行与即时通信。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0019,4,引力驱动和引力挂钩 - 由钛使用。,引力驱动与引力挂钩：由钛族使用。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0021,4,角鲸舰 - 被泰伦使用,角鲸舰：由泰伦虫族使用。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0004-B0023,4,幽风 - 死灵剥皮者使用的平行维度。,幽风：太空死灵剥皮者使用的另一维度。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0005-B0002,5,亚空间驱动或亚空间引擎是集成在星舰中的设备，使它们能够进行一种超光速航行，称为亚空间航行或亚空间跳跃。亚空间驱动允许飞船进入亚空间，沿着其流向行驶，直到重新出现在距离起点数光年的现实空域中。,亚空间驱动装置，也称亚空间引擎，是安装在星舰上的设备，使舰船能够进行称为“亚空间航行”或“亚空间跳跃”的超光速航行。它让舰船进入亚空间，顺着其中的洋流前进，再重返现实空间；此时，舰船已来到距离出发点数光年之外的地方。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0005-B0006,5,这些驱动是巨大而笨重的设备，需要大型飞船运输。配备亚空间驱动的飞船被称为亚空间飞船或亚空间能力舰。亚空间驱动允许飞船在相对较短的时间内进入亚空间并绕过数光年的现实空域，尽管由于亚空间在极端情况下是敌对和不可预测的，与所有亚空间航行相关的危险确实很可怕。,亚空间驱动装置体积庞大而笨重，只有大型舰船才能搭载。安装这种装置的舰船被称为亚空间舰船，或具备亚空间航行能力的舰船。借助它，舰船能在相对短暂的时间内，跨越现实空间中以光年计的距离。然而，亚空间极其凶险且难以预测，因此任何一次亚空间航行都伴随着可怕的危险。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0005-B0009,5,亚空间驱动是人类在c.M18左右发明的。在此之前，星际航行仅限于亚光速。恒星系统之间的航行非常缓慢，需要几代人的航行。亚空间驱动是人类历史上最具革命性的发明之一 - 以前需要几代人的时间，现在只需要几天的时间。因此，人类对银河系的殖民大大加速了。在c.M22，进一步的技术进步导致了被称为导航者的人类变异亚空间飞行员的创造。这些变种人使亚空间飞船能够在亚空间中进行更长、更安全、更准确的亚空间跳跃，并进一步加速了银河系的殖民化。,人类大约在第 18 千年发明了亚空间驱动装置。此前，星际航行只能以亚光速进行，往来于恒星系之间极为缓慢，一趟旅程往往要历经数代人。亚空间驱动装置是人类历史上最具革命性的发明之一：曾经耗时数代的旅途，如今只需几天便可完成，人类殖民银河系的进程也因此大大加快。大约到第 22 千年，进一步的技术发展催生了被称为“导航员”的人类变种，他们担任亚空间领航员，使舰船能够进行距离更远、更安全、也更精确的跳跃，进一步推动了人类在银河系中的扩张。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
